@RELATION procon
@ATTRIBUTE Faixa.Etária=entre41a50anos NUMERIC
@ATTRIBUTE Segmento.de.Mercado=ComércioEletrônico NUMERIC
@ATTRIBUTE Grupo.Problema=Cobrança/Contestação NUMERIC
@ATTRIBUTE UF=SP NUMERIC
@ATTRIBUTE Nota.do.Consumidor=1 NUMERIC
@ATTRIBUTE Tempo.Resposta=10 NUMERIC
@ATTRIBUTE Sexo=M NUMERIC
@ATTRIBUTE Segmento.de.Mercado=OperadorasdeTelecomunicações(Telefonia NUMERIC
@ATTRIBUTE Como.Comprou.Contratou=Lojafísica NUMERIC
@ATTRIBUTE Grupo.Problema=VíciodeQualidade NUMERIC
@ATTRIBUTE FinanceiraseAdministradorasdeCartão NUMERIC
@ATTRIBUTE Mês.Abertura=12 NUMERIC
@ATTRIBUTE Avaliação.Reclamação=NãoResolvida NUMERIC
@ATTRIBUTE Faixa.Etária=entre21a30anos NUMERIC
@ATTRIBUTE Sexo=F NUMERIC
@ATTRIBUTE Grupo.Problema=Contrato/Oferta NUMERIC
@ATTRIBUTE Grupo.Problema=Atendimento/SAC NUMERIC
@ATTRIBUTE Situação=Finalizadaavaliada NUMERIC
@ATTRIBUTE Avaliação.Reclamação=NãoAvaliada NUMERIC
@ATTRIBUTE Como.Comprou.Contratou=Telefone NUMERIC
@ATTRIBUTE Ano.Abertura=2014 NUMERIC
@ATTRIBUTE Faixa.Etária=entre31a40anos NUMERIC
@ATTRIBUTE Nota.do.Consumidor=5 NUMERIC
@ATTRIBUTE Internet NUMERIC
@ATTRIBUTE Procurou.Empresa=S NUMERIC
@ATTRIBUTE Respondida=S NUMERIC
@ATTRIBUTE Ano.Abertura=2015 NUMERIC
@ATTRIBUTE Situação=Finalizadanãoavaliada NUMERIC
@ATTRIBUTE UF=PR NUMERIC
@ATTRIBUTE Como.Comprou.Contratou=Nãocomprei/contratei NUMERIC
@ATTRIBUTE Mês.Abertura=1 NUMERIC
@ATTRIBUTE Como.Comprou.Contratou=Internet NUMERIC
@ATTRIBUTE Segmento.de.Mercado=Bancos NUMERIC
@ATTRIBUTE Avaliação.Reclamação=Resolvida NUMERIC
@ATTRIBUTE TVporassinatura) NUMERIC
@DATA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
